@ Pointer Table mapping: cid → label_cid (4 digits each)
@ Each cid in [0, 2097] maps to a label_cid that has actual data.
@ When cid != label_cid, this is alt-art / shared description.
@ Format: "<cid> <label_cid> <comment>"

0000 0000  (dummy)
1780 1780  Whirlwind Prodigy
1781 1781  Flame Ruler
1782 1782  Firebird
1783 1783  Rescue Cat
1784 1784  Brain Jacker
1785 1785  Gatling Dragon
1786 1786  King Dragun
1787 1787  A Feather of the Phoenix
1788 1788  Poison Fangs
1789 1789  Swords of Concealing Light
1790 1790  Spiral Spear Strike
1791 1791  Release Restraint
1792 1792  Centrifugal Field
1793 1793  Fulfillment of the Contract
1794 1794  Re-Fusion
1795 1795  The Big March of Animals
1796 1796  Cross Counter
1797 1797  Threatening Roar
1798 1798  Phoenix Wing Wind Blast
1799 1799  Good Goblin Housekeeping
1800 1800  Beast Soul Swap
1801 1801  Assault on GHQ
1802 1802  D.D. Dynamite
1803 1803  Deck Devastation Virus
1804 1804  Elemental Burst
1805 1805  Forced Ceasefire
1806 1806  Curse of Vampire
1807 1807  Union Attack
1808 1808  Blood Sucker
1809 1809  Overpowering Eye
1810 1810  Red-Eyes Darkness Dragon
1811 1811  Vampire Genesis
1812 1812  Kaibaman
1813 1813  Elemental Hero Avian
1814 1814  Elemental Hero Burstinatrix
1815 1815  Elemental Hero Clayman
1816 1816  Elemental Hero Sparkman
1817 1817  Winged Kuriboh
1818 1817  Winged Kuriboh (alt-art)
1819 1819  Ancient Gear Golem
1820 1820  Ancient Gear Beast
1821 1821  Ancient Gear Soldier
1822 1822  Millennium Scorpion
1823 1823  Ultimate Insect LV7
1824 1824  Lost Guardian
1825 1825  Hieracosphinx
1826 1826  Criosphinx
1827 1827  Moai Interceptor Cannons
1828 1828  Megarock Dragon
1829 1829  Dummy Golem
1830 1830  Grave Ohja
1831 1831  Mine Golem
1832 1832  Monk Fighter
1833 1833  Master Monk
1834 1834  Guardian Statue
1835 1835  Medusa Worm
1836 1836  D.D. Survivor
1837 1837  Mid Shield Gardna
1838 1838  White Ninja
1839 1839  Aussa the Earth Charmer
1840 1840  Eria the Water Charmer
1841 1841  Hiita the Fire Charmer
1842 1842  Wynn the Wind Charmer
1843 1843  Batteryman AA
1844 1844  Des Wombat
1845 1845  King of the Skull Servants
1846 1846  Reshef the Dark Being
1847 1847  Elemental Mistress Doriado
1848 1848  Elemental Hero Flame Wingman
1849 1849  Elemental Hero Thunder Giant
1850 1850  Gift of the Martyr
1851 1851  Double Attack
1852 1852  Battery Charger
1853 1853  Kaminote Blow
1854 1854  Doriado's Blessing
1855 1855  Final Ritual of the Ancients
1856 1856  Legendary Black Belt
1857 1857  Nitro Unit
1858 1858  Shifting Shadows
1859 1859  Impenetrable Formation
1860 1860  Hero Signal
1861 1861  Pikeru's Second Sight
1862 1862  Minefield Eruption
1863 1863  Kozaky's Self-Destruct Button
1864 1864  Mispolymerization
1865 1865  Level Conversion Lab
1866 1866  Rock Bombardment
1867 1867  Token Feastevil
1868 1868  Spell-Stopping Statute
1869 1869  Royal Surrender
1870 1870  Infernal Flame Emperor
1871 1871  Holy Knight Ishzark
1872 1872  Ocean Dragon Lord - Neo-Daedalus
1873 1873  Cycroid
1874 1874  Patroid
1875 1875  Gyroid
1876 1876  Steamroid
1877 1877  Drillroid
1878 1878  UFOroid
1879 1879  Jetroid
1880 1880  Cyber Dragon
1881 1881  Wroughtweiler
1882 1882  Elemental Hero Bubbleman
1883 1883  Steam Gyroid
1884 1884  UFOroid Fighter
1885 1885  Cyber Twin Dragon
1886 1886  Cyber End Dragon
1887 1887  Power Bond
1888 1888  Skyscraper
1889 1889  Summon Priest
1890 1890  Dark Dreadroute
1891 1891  Winged Kuriboh LV10
1892 1892  Transcendent Wings
1893 1893  Bubble Shuffle
1894 1894  Spark Blaster
1895 1895  Dark Ruler Vandalgyon
1896 1896  Soitsu
1897 1897  Mad Lobster
1898 1898  Jerry Beans Man
1899 1899  Cybernetic Magician
1900 1900  Cybernetic Cyclopean
1901 1901  Mechanical Hound
1902 1902  Cyber Archfiend
1903 1903  Goblin Elite Attack Force
1904 1904  B.E.S. Crystal Core
1905 1905  Giant Kozaky
1906 1906  Indomitable Fighter Lei Lei
1907 1907  Protective Soul Ailin
1908 1908  Doitsu
1909 1909  Des Frog
1910 1910  T.A.D.P.O.L.E.
1911 1911  Poison Draw Frog
1912 1912  Tyranno Infinity
1913 1913  Batteryman C
1914 1914  Ebon Magician Curran
1915 1915  D.D.M. - Different Dimension Master
1916 1916  Fusion Recovery
1917 1917  Miracle Fusion
1918 1918  Dragon's Mirror
1919 1919  System Down
1920 1920  Des Croaking
1921 1921  Pot of Generosity
1922 1922  Shien's Spy
1923 1923  Fire Darts
1924 1924  Spiritual Earth Art - Kurogane
1925 1925  Spiritual Water Art - Aoi
1926 1926  Spiritual Fire Art - Kurenai
1927 1927  Spiritual Wind Art - Miyabi
1928 1928  A Rival Appears!
1929 1929  Magical Explosion
1930 1930  Rising Energy
1931 1931  D.D. Trap Hole
1932 1932  Conscription
1933 1933  Dimension Wall
1934 1934  Prepare to Strike Back
1935 1935  Triage
1936 1936  Alkana Knight Joker
1937 1937  Gilford the Legend
1938 1938  Warrior Lady of the Wasteland
1939 1939  Divine Sword - Phoenix Blade
1940 1940  Elemental Hero Shining Flare Wingman
1941 1941  Level Modulation
1942 1942  Ojamuscle
1943 1943  Ojamagic
1944 1944  V-Tiger Jet
1945 1945  Blade Skater
1946 1946  Reborn Zombie
1947 1947  W-Wing Catapult
1948 1948  Elemental Hero Bladedge
1949 1949  Elemental Hero Wildheart
1950 1950  Hydrogeddon
1951 1951  Oxygeddon
1952 1952  Water Dragon
1953 1953  Etoile Cyber
1954 1954  VW-Tiger Catapult
1955 1955  VWXYZ-Dragon Catapult Cannon
1956 1956  Cyber Blader
1957 1957  Elemental Hero Rampart Blaster
1958 1958  Elemental Hero Tempest
1959 1959  Elemental Hero Wildedge
1960 1960  Chthonian Alliance
1961 1961  Feather Shot
1962 1962  Bonding - H2O
1963 1963  Chthonian Polymer
1964 1964  Chthonian Blast
1965 1965  Hero Barrier
1966 1966  Feather Wind
1967 1967  Zure, Knight of Dark World
1968 1968  B.E.S. Tetran
1969 1969  Nanobreaker
1970 1970  Rapid-Fire Magician
1971 1971  Beiige, Vanguard of Dark World
1972 1972  Broww, Huntsman of Dark World
1973 1973  Brron, Mad King of Dark World
1974 1974  Sillva, Warlord of Dark World
1975 1975  Goldd, Wu-Lord of Dark World
1976 1976  Scarr, Scout of Dark World
1977 1977  Familiar-Possessed - Aussa
1978 1978  Familiar-Possessed - Eria
1979 1979  Familiar-Possessed - Hiita
1980 1980  Familiar-Possessed - Wynn
1981 1981  Pot of Avarice
1982 1982  Dark World Lightning
1983 1983  Boss Rush
1984 1984  Gateway to Dark World
1985 1985  The Forces of Darkness
1986 1986  Dark Deal
1987 1987  Simultaneous Loss
1988 1988  Weed Out
1989 1989  The League of Uniform Nomenclature
1990 1990  Roll Out!
1991 1991  Non-Fusion Area
1992 1992  Level Limit - Area A
1993 1993  Armed Changer
1994 1994  Elemental Hero Necroshade
1995 1995  Hero Heyro
1996 1996  Elemental Hero Madballman
1997 1997  Dark Eradicator Warlock
1998 1998  Mythical Beast Cerberus
1999 1999  Magical Blast
2000 2000  Elemental Hero Steam Healer
2001 2001  Burst Return
2002 2002  Bubble Blaster
2003 2003  Bubble Illusion
2004 2004  Clay Charge
2005 2005  Armed Dragon LV10
2006 2006  Magical Mallet
2007 2007  Inferno Reckless Summon
2008 2008  Rancer Dragonute
2009 2009  Mistobody
2010 2010  Axe Dragonute
2011 2011  White Horns D.
2012 2012  Uria, Lord of Searing Flames
2013 2013  Hamon, Lord of Striking Thunder
2014 2014  Raviel, Lord of Phantasms
2015 2015  Elemental Hero Neo Bubbleman
2016 2016  Hero Kid
2017 2017  Cyber Barrier Dragon
2018 2018  Cyber Laser Dragon
2019 2019  Ancient Gear
2020 2020  Hero Heart
2021 2021  Magnet Circle LV2
2022 2022  Ancient Gear Drill
2023 2023  Phantasmal Martyrs
2024 2024  Cyclone Boomerang
2025 2025  Photon Generator Unit
2026 2026  Ancient Gear Castle
2027 2027  Miracle Kids
2028 2028  Attack Reflector Unit
2029 2029  Damage Condenser
2030 2030  Ancient Gear Cannon
2031 2031  Proto-Cyber Dragon
2032 2032  Adhesive Explosive
2033 2033  Machine King Prototype
2034 2034  B.E.S. Covered Core
2035 2035  D.D. Guide
2036 2036  Chain Thrasher
2037 2037  Disciple of the Forbidden Spell
2038 2038  Tenkabito Shien
2039 2039  Parasitic Ticky
2040 2040  Gokipon
2041 2041  Silent Insect
2042 2042  Chainsaw Insect
2043 2043  Anteatereatingant
2044 2044  Saber Beetle
2045 2045  Doom Dozer
2046 2046  Treeborn Frog
2047 2047  Beelze Frog
2048 2048  Princess Pikeru
2049 2049  Princess Curran
2050 2050  Memory Crusher
2051 2051  Malice Ascendant
2052 2052  Grass Phantom
2053 2053  Sand Moth
2054 2054  Divine Dragon - Excelion
2055 2055  Ruin, Queen of Oblivion
2056 2056  Demise, King of Armageddon
2057 2057  D.3.S. Frog
2058 2058  Symbol of Heritage
2059 2059  Trial of the Princesses
2060 2060  End of the World
2061 2061  Samsara
2062 2062  Karma Cut
2063 2063  Next to be Lost
2064 2064  Generation Shift
2065 2065  Full Salvo
2066 2066  Success Probability 0%
2067 2067  Option Hunter
2068 2068  Goblin Out of the Frying Pan
2069 2069  Malfunction
2070 2070  The Flute of Summoning Kuriboh
2071 2071  Elemental Hero Erikshieler
2072 2072  Guardian Exode
2073 2073  Great Spirit
2074 2074  Fault Zone
2075 2075  Homunculus Gold
2076 2076  The Ancient Sun Helios
2077 2077  Helios Duo Megiste
2078 2078  Helios Tris Megiste
2079 2079  Elemental Hero Neos
2080 2080  Dandylion
2081 2081  Insect Monster Token
2082 2082  Kuriboh Token
2083 2083  Sheep Token
2084 2084  Army Ant Token
2085 2085  Slime Token
2086 2086  Wicked Token
2087 2087  Poisonous Snake Token
2088 2088  Lekunga Token
2089 2089  Wicked Plant Token
2090 2090  Metal Fiend Token
2091 2091  Ojama Token
2092 2092  Lamb Token
2093 2093  Tricky Token
2094 2094  Block Token
2095 2095  Phantasm Token
2096 2096  Phantasmal Martyr Token
2097 2097  Fluffy Token
